#	Game	Release date	Price	Score rank(Userscore / Metascore)	Owners
1	RimWorld	Oct 17, 2018	$34.99	97% (97%)	1,000,000 .. 2,000,000
2	SOULCALIBUR VI	Oct 18, 2018	$59.99	65% (86%/80%)	50,000 .. 100,000
3	Return of the Obra Dinn	Oct 18, 2018	$19.99	99% (98%/91%)	0 .. 20,000
4	Reigns: Game of Thrones	Oct 18, 2018	$3.99	57% (83%)	0 .. 20,000
5	Kingdom Rush Origins	Oct 17, 2018	$14.99	83% (92%)	20,000 .. 50,000
6	LEGO DC Super-Villains	Oct 16, 2018	$39.99	70% (88%)	0 .. 20,000
7	Farm Together	Oct 11, 2018	$19.99	73% (89%)	50,000 .. 100,000
8	EXAPUNKS	Oct 22, 2018	$15.99	97% (97%)	0 .. 20,000
9	The Jackbox Party Pack 5	Oct 17, 2018	$24.89	N/A (N/A)	0 .. 20,000
10	Assassin's Creed Odyssey	Oct 5, 2018	$59.99	42% (76%)	200,000 .. 500,000
11	My Memory of Us	Oct 9, 2018	$17.99	100% (100%/66%)	0 .. 20,000
12	Dreadnought	Oct 14, 2018	Free	9% (47%)	200,000 .. 500,000
13	Damsel	Oct 19, 2018	$14.99	N/A (N/A)	0 .. 20,000
14	MapleStory 2	Oct 4, 2018	Free	40% (75%)	200,000 .. 500,000
15	WWE 2K19	Oct 8, 2018	$59.99	29% (68%)	0 .. 20,000
16	WAR DUST | 32 vs 32 Battles	Oct 19, 2018	$14.99	80% (91%)	0 .. 20,000
17	The Light Keeps Us Safe	Oct 11, 2018	$16.99	N/A (N/A)	0 .. 20,000
18	Shortest Trip to Earth	Oct 9, 2018	$19.99	57% (83%)	0 .. 20,000
19	Helium Rain	Oct 11, 2018	$14.99	70% (88%)	0 .. 20,000
20	Life is Strange 2	Sep 26, 2018	$7.99	73% (89%)	50,000 .. 100,000
21	In Death	Oct 2, 2018	$29.99	83% (92%)	0 .. 20,000
22	WARRIORS OROCHI 4 - ??OROCHI?	Oct 15, 2018	$59.99	50% (80%)	20,000 .. 50,000
23	Valkyria Chronicles 4	Sep 25, 2018	$59.99	70% (88%/84%)	20,000 .. 50,000
24	AI War 2	Oct 15, 2018	$19.99	93% (95%)	0 .. 20,000
25	Mad Tower Tycoon	Oct 18, 2018	$13.49	N/A (N/A)	0 .. 20,000
26	Mark of the Ninja: Remastered	Oct 9, 2018	$19.99	87% (93%)	0 .. 20,000
27	CrossCode	Sep 20, 2018	$19.99	90% (94%/85%)	200,000 .. 500,000
28	Battlerite Royale	Sep 26, 2018	$19.99	24% (65%)	50,000 .. 100,000
29	Accounting+	Oct 18, 2018	$10.19	40% (75%)	0 .. 20,000
30	Mini Thief	Oct 12, 2018	$3.99	46% (78%)	20,000 .. 50,000
31	Pummel Party	Sep 20, 2018	$14.99	62% (85%)	0 .. 20,000
32	The MISSING: J.J. Macfield and the Island of Memories	Oct 11, 2018	$29.99	93% (95%)	0 .. 20,000
33	Cube Escape: Paradox	Sep 20, 2018	Free	95% (96%)	100,000 .. 200,000
34	Initial 2 : New Stage	Oct 18, 2018	$21.74	29% (68%)	0 .. 20,000
35	Ring of Elysium	Sep 19, 2018	Free	35% (72%)	2,000,000 .. 5,000,000
36	eSports Legend / ????	Oct 15, 2018	$9.99	21% (62%)	20,000 .. 50,000
37	CardLife: Cardboard Survival	Oct 9, 2018	$19.99	22% (63%)	0 .. 20,000
38	Nimbatus - The Space Drone Constructor	Oct 3, 2018	$19.99	50% (80%)	0 .. 20,000
39	The Conjuring House	Sep 25, 2018	$24.99	20% (61%)	0 .. 20,000
40	Mega Man 11 / ?????11 ?????!!	Oct 2, 2018	$29.99	80% (91%)	20,000 .. 50,000
41	Breathedge	Sep 13, 2018	$15.99	87% (93%)	50,000 .. 100,000
42	Disgaea 5 Complete / ??????????5	Oct 22, 2018	$29.99	60% (84%)	0 .. 20,000
43	Shadow of the Tomb Raider	Sep 14, 2018	$59.99	26% (66%)	200,000 .. 500,000
44	Heavy Metal Machines	Sep 19, 2018	Free	33% (71%)	500,000 .. 1,000,000
45	Megaquarium	Sep 13, 2018	$24.99	70% (88%/77%)	20,000 .. 50,000
46	Assetto Corsa Competizione	Sep 12, 2018	$24.99	65% (86%)	20,000 .. 50,000
47	New Gundam Breaker	Sep 24, 2018	$49.99	9% (48%)	0 .. 20,000
48	Great Hero's Beard	Oct 17, 2018	$1.19	73% (89%)	20,000 .. 50,000
49	The Moment We Met	Oct 16, 2018	$1.19	N/A (N/A)	0 .. 20,000
50	Techwars: Global Conflict	Oct 1, 2018	Free	30% (69%)	0 .. 20,000
51	Fist of love	Oct 1, 2018	$0.99	62% (85%)	20,000 .. 50,000
52	Dying Light: Bad Blood	Sep 13, 2018	$19.99	29% (68%)	20,000 .. 50,000
53	Boundless	Sep 11, 2018	$39.99	37% (73%)	20,000 .. 50,000
54	Old School Musical	Sep 13, 2018	$12.99	97% (97%)	0 .. 20,000
55	G2 Fighter	Oct 12, 2018	$15.99	76% (90%)	0 .. 20,000
56	World of Warplanes	Sep 12, 2018	Free	14% (55%/69%)	50,000 .. 100,000
57	LoveChoice ??	Sep 30, 2018	$1.99	90% (94%)	0 .. 20,000
58	Timberman VS	Oct 12, 2018	$1.99	27% (67%)	0 .. 20,000
59	The Bard's Tale IV: Barrows Deep	Sep 18, 2018	$34.99	19% (60%)	20,000 .. 50,000
60	Shining Song Starnova	Sep 13, 2018	$29.99	N/A (N/A)	0 .. 20,000
61	ReCore: Definitive Edition	Sep 14, 2018	$19.99	23% (64%/58%)	0 .. 20,000
62	Construction Simulator 2 US - Pocket Edition	Sep 12, 2018	$11.99	22% (63%)	0 .. 20,000
63	Pathfinder: Kingmaker	Sep 25, 2018	$39.99	27% (67%/71%)	100,000 .. 200,000
64	Liftoff: FPV Drone Racing	Sep 13, 2018	$19.99	65% (86%)	20,000 .. 50,000
65	Distance	Sep 18, 2018	$24.99	87% (93%)	100,000 .. 200,000
66	Eternal Fantasy	Oct 18, 2018	$5.99	N/A (N/A)	0 .. 20,000
67	Star Control: Origins	Sep 20, 2018	$39.99	30% (69%)	20,000 .. 50,000
68	????? ~ Touhou Big Big Battle	Sep 10, 2018	$5.99	35% (72%)	50,000 .. 100,000
69	World War 3	Oct 19, 2018	$28	15% (57%)	100,000 .. 200,000
70	Infliction	Oct 18, 2018	$17.99	62% (85%)	0 .. 20,000
71	Atomic Society	Oct 15, 2018	$14.99	65% (86%)	0 .. 20,000
72	The Hex	Oct 16, 2018	$9.99	95% (96%)	0 .. 20,000
73	Terraforming Mars	Oct 17, 2018	$24.99	16% (58%)	0 .. 20,000
74	God's Basement	Oct 16, 2018	$13.49	48% (79%)	0 .. 20,000
75	Space Hulk: Tactics	Oct 9, 2018	$39.99	23% (64%/73%)	0 .. 20,000
76	Executive Assault 2	Oct 18, 2018	$24.99	70% (88%)	0 .. 20,000
77	A Gummy's Life	Oct 2, 2018	$14.99	55% (82%)	0 .. 20,000
78	Second Second	Oct 15, 2018	$15.99	N/A (N/A)	0 .. 20,000
79	Evasion	Oct 8, 2018	$39.99	N/A (N/A)	0 .. 20,000
80	Achtung! Cthulhu Tactics	Oct 4, 2018	$24.99	N/A (N/A)	0 .. 20,000
81	SpaceBourne	Oct 5, 2018	$14.99	44% (77%)	0 .. 20,000
82	Wandersong	Sep 27, 2018	$19.99	97% (97%/78%)	0 .. 20,000
83	To Leave	Oct 4, 2018	$9.99	N/A (N/A)	0 .. 20,000
84	RESONANCE OF FATE/END OF ETERNITY 4K/HD EDITION	Oct 17, 2018	$31.49	53% (81%)	0 .. 20,000
85	Vox Machinae	Sep 26, 2018	$24.99	93% (95%)	0 .. 20,000
86	Species: Artificial Life, Real Evolution	Sep 28, 2018	$19.99	60% (84%)	0 .. 20,000
87	Deep Sky Derelicts	Sep 26, 2018	$19.99	42% (76%/74%)	0 .. 20,000
88	Timespinner	Sep 25, 2018	$19.99	55% (82%/72%)	0 .. 20,000
89	Alien Hostage	Oct 1, 2018	$2.99	N/A (N/A)	20,000 .. 50,000
90	INSOMNIA: The Ark	Sep 27, 2018	$29.99	19% (60%)	20,000 .. 50,000
91	My Brother Rabbit	Sep 21, 2018	$11.99	93% (95%)	0 .. 20,000
92	Dakar 18	Sep 25, 2018	$49.99	17% (59%/60%)	0 .. 20,000
93	Wormster Dash	Oct 1, 2018	$1.99	N/A (N/A)	0 .. 20,000
94	BattleRush 2	Oct 18, 2018	$4.49	37% (73%)	20,000 .. 50,000
95	Zero Killed	Oct 5, 2018	$14.99	N/A (N/A)	0 .. 20,000
96	Zeal	Sep 24, 2018	Free	32% (70%)	100,000 .. 200,000
97	Depth of Extinction	Sep 27, 2018	$19.99	22% (63%)	0 .. 20,000
98	Underhero	Sep 19, 2018	$14.99	90% (94%)	0 .. 20,000
99	Taphouse VR	Sep 27, 2018	Free	97% (97%)	0 .. 20,000
100	Hentai Legends	Oct 19, 2018	$1.19	N/A (N/A)	0 .. 20,000